ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
139,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1037,ราชเทวี,Rat Thewi,103701,ทุ่งพญาไท,Thung Phaya Thai,10400
140,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1037,ราชเทวี,Rat Thewi,103702,ถนนพญาไท,Thanon Phaya Thai,10400
141,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1037,ราชเทวี,Rat Thewi,103703,ถนนเพชรบุรี,Thanon Phetchaburi,10400
142,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1037,ราชเทวี,Rat Thewi,103704,มักกะสัน,Makkasan,10400
143,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1038,ลาดพร้าว,Lat Phrao,103801,ลาดพร้าว,Lat Phrao,10230
144,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1038,ลาดพร้าว,Lat Phrao,103802,จรเข้บัว,Chorakhe Bua,10230
145,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1039,วัฒนา,Watthana,103901,คลองเตยเหนือ,Khlong Toei Nuea,10110
146,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1039,วัฒนา,Watthana,103902,คลองตันเหนือ,Khlong Tan Nuea,10110
147,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1039,วัฒนา,Watthana,103903,พระโขนงเหนือ,Phra Khanong Nuea,10110
148,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1040,บางแค,Bang Khae,104001,บางแค,Bang Khae,10160
149,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1040,บางแค,Bang Khae,104002,บางแคเหนือ,Bang Khae Nuea,10160
150,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1040,บางแค,Bang Khae,104003,บางไผ่,Bang Phai,10160
151,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1040,บางแค,Bang Khae,104004,หลักสอง,Lak Song,10160
152,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1041,หลักสี่,Lak Si,104101,ทุ่งสองห้อง,Thung Song Hong,10210
153,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1041,หลักสี่,Lak Si,104102,ตลาดบางเขน,Talat Bang Khen,10210
154,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1042,สายไหม,Sai Mai,104201,สายไหม,Sai Mai,10220
155,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1042,สายไหม,Sai Mai,104202,ออเงิน,O Ngoen,10220
156,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1042,สายไหม,Sai Mai,104203,คลองถนน,Khlong Thanon,10220
157,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1043,คันนายาว,Khanna Yao,104301,คันนายาว,Khan Na Yao,10230
158,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1043,คันนายาว,Khanna Yao,104302,รามอินทรา,Ram Inthra,10230
159,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1044,สะพานสูง,Saphan Sung,104401,สะพานสูง,Saphan Sung,10240
160,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1044,สะพานสูง,Saphan Sung,104402,ราษฎร์พัฒนา,Rat Phatthana,10240
161,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1044,สะพานสูง,Saphan Sung,104403,ทับช้าง,Thap Chang,10250
162,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1045,วังทองหลาง,Wang Thong Lang,104501,วังทองหลาง,Wang Thonglang,10310
163,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1045,วังทองหลาง,Wang Thong Lang,104502,สะพานสอง,Saphan Song,10310
164,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1045,วังทองหลาง,Wang Thong Lang,104503,คลองเจ้าคุณสิงห์,Khlong Chaokhun Sing,10310
165,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1045,วังทองหลาง,Wang Thong Lang,104504,พลับพลา,Phlapphla,10310
166,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1046,คลองสามวา,Khlong Sam Wa,104601,สามวาตะวันตก,Sam Wa Tawan Tok,10510
167,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1046,คลองสามวา,Khlong Sam Wa,104602,สามวาตะวันออก,Sam Wa Tawan Ok,10510
168,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1046,คลองสามวา,Khlong Sam Wa,104603,บางชัน,Bang Chan,10510
169,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1046,คลองสามวา,Khlong Sam Wa,104604,ทรายกองดิน,Sai Kong Din,10510
170,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1046,คลองสามวา,Khlong Sam Wa,104605,ทรายกองดินใต้,Sai Kong Din Tai,10510
171,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1047,บางนา,Bang Na,104702,บางนาเหนือ,Bang Na Nuea,10260
