ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
172,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1047,บางนา,Bang Na,104703,บางนาใต้,Bang Na Tai,10260
173,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1048,ทวีวัฒนา,Thawi Watthana,104801,ทวีวัฒนา,Thawi Watthana,10170
174,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1048,ทวีวัฒนา,Thawi Watthana,104802,ศาลาธรรมสพน์,Sala Thammasop,10170
175,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1049,ทุ่งครุ,Thung Khu,104901,บางมด,Bang Mot,10140
176,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1049,ทุ่งครุ,Thung Khu,104902,ทุ่งครุ,Thung Khru,10140
177,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1050,บางบอน,Bang Bon,105002,บางบอนเหนือ,Bang Bon Nuea,10150
178,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1050,บางบอน,Bang Bon,105003,บางบอนใต้,Bang Bon Tai,10150
179,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1050,บางบอน,Bang Bon,105004,คลองบางพราน,Khlong Bang Phran,10150
180,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1050,บางบอน,Bang Bon,105005,คลองบางบอน,Khlong Bang Bon,10150
181,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110101,ปากน้ำ,Pak Nam,10270
182,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110102,สำโรงเหนือ,Samrong Nuea,10270
183,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110103,บางเมือง,Bang Mueang,10270
184,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110104,ท้ายบ้าน,Thai Ban,10280
185,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110108,บางปูใหม่,Bang Pu Mai,10280
186,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110110,แพรกษา,Phraek Sa,10280
187,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110111,บางโปรง,Bang Prong,10270
188,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110112,บางปู,Bang Pu,10270
189,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110113,บางด้วน,Bang Duan,10270
190,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110114,บางเมืองใหม่,Bang Mueang Mai,10270
191,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110115,เทพารักษ์,Thepharak,10270
192,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110116,ท้ายบ้านใหม่,Thai Ban Mai,10280
193,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,110117,แพรกษาใหม่,Phraek Sa Mai,10280
194,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110201,บางบ่อ,Bang Bo,10560
195,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110202,บ้านระกาศ,Ban Rakat,10560
196,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110203,บางพลีน้อย,Bang Phli Noi,10560
197,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110204,บางเพรียง,Bang Phriang,10560
198,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110205,คลองด่าน,Khlong Dan,10550
199,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110206,คลองสวน,Khlong Suan,10560
200,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110207,เปร็ง,Preng,10560
201,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1102,บางบ่อ,Bang Bo,110208,คลองนิยมยาตรา,Khlong Niyom Yattra,10560
202,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110301,บางพลีใหญ่,Bang Phli Yai,10540
203,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110302,บางแก้ว,Bang Kaeo,10540
204,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110303,บางปลา,Bang Pla,10540
205,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110304,บางโฉลง,Bang Chalong,10540
206,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110308,ราชาเทวะ,Racha Thewa,10540
207,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1103,บางพลี,Bang Phli,110309,หนองปรือ,Nong Prue,10540
208,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110401,ตลาด,Talat,10130
209,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110402,บางพึ่ง,Bang Phueng,10130
210,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110403,บางจาก,Bang Chak,10130
211,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110404,บางครุ,Bang Khru,10130
212,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110405,บางหญ้าแพรก,Bang Ya Phraek,10130
213,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110406,บางหัวเสือ,Bang Hua Suea,10130
214,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110407,สำโรงใต้,Samrong Tai,10130
215,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110408,บางยอ,Bang Yo,10130
216,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110409,บางกะเจ้า,Bang Kachao,10130
217,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110410,บางน้ำผึ้ง,Bang Nam Phueng,10130
218,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110411,บางกระสอบ,Bang Krasop,10130
219,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110412,บางกอบัว,Bang Ko Bua,10130
220,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110413,ทรงคนอง,Song Khanong,10130
221,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110414,สำโรง,Samrong,10130
222,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1104,พระประแดง,Phra Pradaeng,110415,สำโรงกลาง,Samrong Klang,10130
223,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1105,พระสมุทรเจดีย์,Phra Samut Chedi,110501,นาเกลือ,Na Kluea,10290
224,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1105,พระสมุทรเจดีย์,Phra Samut Chedi,110502,บ้านคลองสวน,Ban Khlong Suan,10290
225,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1105,พระสมุทรเจดีย์,Phra Samut Chedi,110503,แหลมฟ้าผ่า,Laem Fa Pha,10290
226,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1105,พระสมุทรเจดีย์,Phra Samut Chedi,110504,ปากคลองบางปลากด,Pak Khlong Bang Pla Kot,10290
227,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1105,พระสมุทรเจดีย์,Phra Samut Chedi,110505,ในคลองบางปลากด,Nai Khlong Bang Pla Kot,10290
228,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1106,บางเสาธง,Bang Sao Thong,110601,บางเสาธง,Bang Sao Thong,10570
229,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1106,บางเสาธง,Bang Sao Thong,110602,ศีรษะจรเข้น้อย,Sisa Chorakhe Noi,10570
230,ภาคกลาง,11,สมุทรปราการ,Samut Prakan,1106,บางเสาธง,Bang Sao Thong,110603,ศีรษะจรเข้ใหญ่,Sisa Chorakhe Yai,10570
231,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120101,สวนใหญ่,Suan Yai,11000
232,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120102,ตลาดขวัญ,Talat Khwan,11000
233,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120103,บางเขน,Bang Khen,11000
234,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120104,บางกระสอ,Bang Kraso,11000
235,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120105,ท่าทราย,Tha Sai,11000
236,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120106,บางไผ่,Bang Phai,11000
237,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120107,บางศรีเมือง,Bang Si Mueang,11000
238,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120108,บางกร่าง,Bang Krang,11000
239,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120109,ไทรม้า,Sai Ma,11000
240,ภาคกลาง,12,นนทบุรี,Nonthaburi,1201,เมืองนนทบุรี,Mueang Nonthaburi,120110,บางรักน้อย,Bang Rak Noi,11000
241,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120201,วัดชลอ,Wat Chalo,11130
242,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120202,บางกรวย,Bang Kruai,11130
243,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120203,บางสีทอง,Bang Si Thong,11130
244,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120204,บางขนุน,Bang Khanun,11130
245,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120205,บางขุนกอง,Bang Khun Kong,11130
246,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120206,บางคูเวียง,Bang Khu Wiang,11130
247,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120207,มหาสวัสดิ์,Mahasawat,11130
248,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120208,ปลายบาง,Plai Bang,11130
249,ภาคกลาง,12,นนทบุรี,Nonthaburi,1202,บางกรวย,Bang Kruai,120209,ศาลากลาง,Sala Klang,11130
250,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120301,บางม่วง,Bang Muang,11140
251,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120302,บางแม่นาง,Bang Mae Nang,11140
252,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120303,บางเลน,Bang Len,11140
253,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120304,เสาธงหิน,Sao Thong Hin,11140
254,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120305,บางใหญ่,Bang Yai,11140
255,ภาคกลาง,12,นนทบุรี,Nonthaburi,1203,บางใหญ่,Bang Yai,120306,บ้านใหม่,Ban Mai,11140
256,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120401,โสนลอย,Sano Loi,11110
257,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120402,บางบัวทอง,Bang Bua Thong,11110
258,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120403,บางรักใหญ่,Bang Rak Yai,11110
259,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120404,บางคูรัด,Bang Khu Rat,11110
260,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120405,ละหาร,Lahan,11110
261,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120406,ลำโพ,Lam Pho,11110
262,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120407,พิมลราช,Phimonrat,11110
263,ภาคกลาง,12,นนทบุรี,Nonthaburi,1204,บางบัวทอง,Bang Bua Thong,120408,บางรักพัฒนา,Bang Rak Phatthana,11110
264,ภาคกลาง,12,นนทบุรี,Nonthaburi,1205,ไทรน้อย,Sai Noi,120501,ไทรน้อย,Sai Noi,11150
